,ID,Variable type,Short Name,Latex Name,Description,Distribution,Distribution parameters,Units
0,fp_Poff_LCKA2,Free parameter,Poff,$$Poff^{LCKA}$$,Decay probability,Normal,"{'mu': '-2.0', 'sd': '1.0'}",-
1,fp_Diff_LCKA2,Free parameter,Diff,$$Diff^{LCKA}$$,Diffusion coefficient,Normal,"{'mu': '-2.0', 'sd': '1.0'}",$$kTnm^2$$
2,rv_p00_Decaylength_LCKA2,Random variable,p00,nm,p00,Normal,"{'mu': '1.5100131230130138', 'sd': '0.12302087300754529'}",$$nm$$
3,rv_p10_Decaylength_LCKA2,Random variable,p10,-,p10,Normal,"{'mu': '-1.0101894639491082', 'sd': '0.06881503964557308'}",$$nm$$
4,rv_p01_Decaylength_LCKA2,Random variable,p01,-,p01,Normal,"{'mu': '0.815404312509659', 'sd': '0.08925759474966506'}",$$nm$$
5,rv_p20_Decaylength_LCKA2,Random variable,p20,-,p20,Normal,"{'mu': '-0.1093026553039422', 'sd': '0.01063952243320744'}",$$nm$$
6,rv_p11_Decaylength_LCKA2,Random variable,p11,-,p11,Normal,"{'mu': '-0.06042177342248997', 'sd': '0.013966077049356141'}",$$nm$$
7,rv_p02_Decaylength_LCKA2,Random variable,p02,-,p02,Normal,"{'mu': '0.1375668900454969', 'sd': '0.023606980393551007'}",$$nm$$
8,rv_output_decaylength_LCKA2,Random variable,output,$$decaylength^{LCKA}_{output}$$,Decaylength output,Normal,"{'mu': '2.0', 'sd': '0.4'}",$$nm$$
